,feature,bin_type,signal_summary,decision
0,number_of_elements,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
1,mean_atomic_mass,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
2,wtd_mean_atomic_mass,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
3,gmean_atomic_mass,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
4,wtd_gmean_atomic_mass,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
5,entropy_atomic_mass,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
6,wtd_entropy_atomic_mass,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
7,range_atomic_mass,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
8,wtd_range_atomic_mass,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
9,std_atomic_mass,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
10,wtd_std_atomic_mass,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
11,mean_fie,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
12,wtd_mean_fie,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
13,gmean_fie,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
14,wtd_gmean_fie,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
15,entropy_fie,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
16,wtd_entropy_fie,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
17,range_fie,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
18,wtd_range_fie,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
19,std_fie,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
20,wtd_std_fie,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
21,mean_atomic_radius,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
22,wtd_mean_atomic_radius,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
23,gmean_atomic_radius,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
24,wtd_gmean_atomic_radius,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
25,entropy_atomic_radius,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
26,wtd_entropy_atomic_radius,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
27,range_atomic_radius,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
28,wtd_range_atomic_radius,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
29,std_atomic_radius,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
30,wtd_std_atomic_radius,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
31,mean_Density,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
32,wtd_mean_Density,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
33,gmean_Density,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
34,wtd_gmean_Density,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
35,entropy_Density,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
36,wtd_entropy_Density,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
37,range_Density,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
38,wtd_range_Density,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
39,std_Density,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
40,wtd_std_Density,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
41,mean_ElectronAffinity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
42,wtd_mean_ElectronAffinity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
43,gmean_ElectronAffinity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
44,wtd_gmean_ElectronAffinity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
45,entropy_ElectronAffinity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
46,wtd_entropy_ElectronAffinity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
47,range_ElectronAffinity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
48,wtd_range_ElectronAffinity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
49,std_ElectronAffinity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
50,wtd_std_ElectronAffinity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
51,mean_FusionHeat,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
52,wtd_mean_FusionHeat,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
53,gmean_FusionHeat,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
54,wtd_gmean_FusionHeat,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
55,entropy_FusionHeat,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
56,wtd_entropy_FusionHeat,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
57,range_FusionHeat,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
58,wtd_range_FusionHeat,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
59,std_FusionHeat,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
60,wtd_std_FusionHeat,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
61,mean_ThermalConductivity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
62,wtd_mean_ThermalConductivity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
63,gmean_ThermalConductivity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
64,wtd_gmean_ThermalConductivity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
65,entropy_ThermalConductivity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
66,wtd_entropy_ThermalConductivity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
67,range_ThermalConductivity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
68,wtd_range_ThermalConductivity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
69,std_ThermalConductivity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
70,wtd_std_ThermalConductivity,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
71,mean_Valence,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
72,wtd_mean_Valence,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
73,gmean_Valence,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
74,wtd_gmean_Valence,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
75,entropy_Valence,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
76,wtd_entropy_Valence,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
77,range_Valence,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
78,wtd_range_Valence,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
79,std_Valence,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
80,wtd_std_Valence,Categorical/Binary,0 bins/cats >= 0.10 positive rate,Drop
